# part_of_speech: $verb
aspect_class,acceptor
sk-s-a,(<Phone>*<C>)
sk-s-a[inf2],(<Phone>*<C>)
sk-s-hst,(<Phone>*<V>)
sk-s-hst[imp2],(<Phone>*<V>)
sk-s-la,(<Phone>*<V>)
sk-h-yh,(<Phone>*<V>)
hvsk-han,(<Phone>*<C>)
hvsk-han[inf2],(<Phone>*<C>)
hvsk-nh,(<Phone>*<V>)
hvsk-nh[inf2],(<Phone>*<V>)
hvsk-nh[inf3],(<Phone>*<V>)
hvsk-nh[inf4],(<Phone>*<V>)
hvsk-n,(<Phone>*h)|(<Phone>*<V>)
terminative,(<Phone>*<C>)
terminative-no-o,(<Phone>*<V>)
apl-active-',(<Phone>*')
hih-hil,(<Phone>*<C>)
hih-hil[imp2],(<Phone>*<C>)
hih-hilh,(<Phone>*<C>)
hih-lh,(<Phone>*<V>)
hih-lh[imp2],(<Phone>*<V>)
o,(<Phone>*<C>)
v-vhs,(<Phone>*<C>)
vsk,(<Phone>*<C>)
vsk[imp2],(<Phone>*<C>)
vsk-long,(<Phone>*<C>)
vsk-long[imp2],(<Phone>*<C>)
vsk-post-v,(<Phone>*<V>)
