# kind: morpheme_replace
# morpheme_tag: [Aspect]
# stage: aspect_suffix
# feature: aspect
# part_of_speech: $verb
# class_feature: aspect_class
paradigm,present,incompletive,completive,immediate,infinitive
a,a',ask,,a,ast
become,k,k,ts,ki,st;'ist;yhst;ist
ko-kots,kok,kok,kots,ko'i,kost
sk-s-hi-hihst,sk,sk,s,hi,hist
sk-s-a,sk,sk,s,a,hist;st
sk-s-hst,sk,sk,s,;hi,st
sk-s-la,sk,sk,s,la,st
sk-h,sk,sk,h,ha;,st
sk-h-yh,sk,sk,yh,yha,st
hvsk-han,hvsk,hvsk,han,hvka,ht;hvst
hvsk-nh,hvsk,hvsk,nh,hvka,ht;ht;hvst;oht
hvsk-n,hvsk,hvsk,n,hvka,oht
husk,husk,husk,hun,huka,hust
episodic,vhvsk,vhvsk,vnh,vhvka;vna,ht;vhvst
terminative,ohvsk,ohvsk,onh,onha,ohvst
terminative-no-o,hvsk,hvsk,nh,nha,hvst
e-aka,e',esk,a',aka,est
e-a,e',esk,e',a,et
apl-active,eh,esk,eh,vla,eht
apl-active-h,heh,hesk,helh,hvla,heht
apl-active-',eh,esk,elh,vla,eht
apl-active-a,eh,esk,eh,a,ht
apl,eh,eh,el,si;si;isi;vla,eht
go,ek;,ek,vs,uka,vst
go-in,ek,ek,invs;es,uka,invt
cause,ih;,isk,han;anh;an,a,oht
ih-il,ih,ih,il,ika,ist
hih-hil,hih,hih,hil,hka;hika,st
hih-hilh,hih,hih,hilh,hika,hist
hih-lh,hih,hih,lh,ka;ha,st
ih-vh,ih,isk;ih,vh,a,ht;vht
vnh-ih-a,ih,isk,vnh,a,ht
vnh-vsk,vsk,vsk,vnh,vna,ht;vht;vnht;vst
i-vka,i',isk,an,vka,ot
i-a-i,i',isk,;is,a,ist
i-a-ihsk,isk,isk,is,a,ist
ih-ihi,ih,isk,is,ihi,ihist
o,o',osk,o',otsa,ost
be-at,oh,oh,ol,a,ast
oh-al,hoh,hoh,hal,hka;aka,st
oh-ol,oh,oh,ol,aka,ot;hst;ast
v-vhs,v',vsk,vs,vna,vst
vsk,vsk,vsk,vn,vka;v'vka,vt
vsk-long,v'vsk,v'vsk,vn,vka;v'vka,vt
vsk-post-v,'vsk,'vsk,n,'vka,t
rev-gi,ki',kisk,kis,ki,kist
rev-i,i',isk,is,i,ist
rev-'i,'i','isk,'is,'i,'ist
rev-e,e',esk,es,aki,est
