corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive,entry_type,h_root,glottal_root,aspect_class,prefix_class,tense_present_class,set_a,plural,animate_objects,variant_present,variant_incompletive,variant_completive,variant_immediate,variant_infinitive
4,8,it’s bouncing,atateka,katateka,atateko'i,utatinvsv'i,hatatuka,utatinvti,Eventful,atat,atat,go-in,a_stem,a_present,True,False,False,1,1,1,1,1
5,9,he/she is limping,atateka,katateka,atateko'i,utatesv'i,hatatuka,utatinvti,Eventful,atat,atat,go-in,a_stem,a_present,True,False,False,1,1,2,1,1
6,10,he/she is bouncing it,atatinvtiha,katatinvtiha,atatinvtisko'i,utatinvthanv'i,hatatinvta,utatinvtohti,Eventful,atatinvt,atatinvt,cause,a_stem,a_present,True,False,False,1,1,1,1,1
7,11,he/she is putting on a belt,atatlohiha,katatlohiha,atatlohiho'i,utatlolhv'i,hatatloka,utatlosti,Eventful,atatlo,atatlo,hih-lh,a_stem,a_present,True,False,False,1,1,1,1,1
10,14,he/she is praying,atatolistiha,katatolistiha,atatolistisko'i,utatolisthanv'i,hatatolista,utatolistohti,Eventful,atatolist,atatolist,cause,a_stem,a_present,True,False,False,1,1,1,1,1
16,20,he/she is fanning himself/herself,atanhoyeha,katanoyeha,atanhoyesko'i,utanhoyehv'i,hatanhoyvla,utanhoyehti,Eventful,atanhoy,atanoy,apl-active,a_stem,a_present,True,False,False,1,1,1,1,1
18,22,he/she is visiting,atawhahthvhitoha,katawahthvhitoha,atawhahthvhitoho'i,utawhahthvhitolv'i,hatawhahthvhita,utawhahthvhitasti,Eventful,atawhahthvhit,atawahthvhit,be-at,a_stem,a_present,True,False,False,1,1,1,1,1
19,23,he/she is stretching,atayhastiha,katayastiha,atayhastisko'i,utayhasthanv'i,hatayhasta,utayhastohti,Eventful,atayhast,atayast,cause,a_stem,a_present,True,False,False,1,1,1,1,1
22,26,he/she is committing adultery,atayhoneha,katayoneha,atayhoneho'i,utayhonelv'i,hatayhonvla,utayhonehti,Eventful,atayhon,atayon,apl,a_stem,a_present,True,False,False,1,1,1,4,1
27,31,he/she is looking at himself/herself in a mirror,atakheha,katakheha,atakhesko'i,utakhehv'i,hatakhvla,utakhehti,Eventful,atakh,atakh,apl-active,a_stem,a_present,True,False,False,1,1,1,1,1
29,33,it’s beginning,ataleniha,,atalenisko'i,utalenvhv'i,,utalenhti,Eventful,atalen,,ih-vh,a_stem,a_present,True,False,False,1,1,1,1,1
29,33,it’s beginning,ataleniha,,atalenisko'i,utalenvhv'i,,utalenhti,Eventful,atalen,,ih-vh,a_stem,a_present,True,False,True,1,1,1,1,1
29,33,it’s beginning,ataleniha,,atalenisko'i,utalenvhv'i,,utalenhti,Eventful,talen,,ih-vh,cons_stem,a_present,True,False,False,1,1,1,1,1
29,33,it’s beginning,ataleniha,,atalenisko'i,utalenvhv'i,,utalenhti,Eventful,talen,,ih-vh,cons_stem,a_present,True,False,True,1,1,1,1,1
30,34,he/she is shopping,atananesvhvska,katananesvhvska,atananesvhvsko'i,utananesvnhv'i,hatananesvhvka,utananesvhvsti,Eventful,atananes,atananes,episodic,a_stem,a_present,True,False,False,1,1,1,1,2
30,34,he/she is shopping,atananesvhvska,katananesvhvska,atananesvhvsko'i,utananesvnhv'i,hatananesvhvka,utananesvhvsti,Eventful,atananesv,atananesv,hvsk-nh,a_stem,a_present,True,False,False,1,1,1,1,3
32,36,he/she is taking off running,atanawhstiha,katanawhstiha,atanawhstisko'i,utanawhsthanv'i,hatanawhsta,utanawhstohti,Eventful,atanawhst,atanawhst,cause,a_stem,a_present,True,False,False,1,1,1,1,1
33,37,he/she is changing,atanetliyv'a,katanetliyv'a,atanetliyvsko'i,utanetliyvsv'i,hatanetliyvna,utanetliyvsti,Eventful,atanetliy,atanetliy,v-vhs,a_stem,a_present,True,False,False,1,1,1,1,1
34,38,he/she is taking turns with him/her,atanetliyvstiha,katanetliyvstiha,atanetliyvstisko'i,utanetliyvsthanv'i,hatanetliyvsta,utanetliyvstohti,Eventful,atanetliyvst,atanetliyvst,cause,a_stem,a_present,True,False,False,1,1,1,1,1
39,43,he/she is thinking,atanhtheha,katanvtheha,atanhthesko'i,utanhthelhv'i,hatanhthvla,utanhthehti,Eventful,atanht,atanhvt,apl-active-h,a_stem,a_present,True,False,False,1,1,1,1,1
39,43,he/she is thinking,atanhtheha,katanvtheha,atanhthesko'i,utanhthelhv'i,hatanhthvla,utanhthehti,Eventful,atanht,atanvt,apl-active-h,a_stem,a_present,True,False,False,1,1,1,1,1
39,43,he/she is thinking,atanhtheha,katanvtheha,atanhthesko'i,utanhthelhv'i,hatanhthvla,utanhthehti,Eventful,atanhth,atanhvth,apl-active-',a_stem,a_present,True,False,False,1,1,1,1,1
39,43,he/she is thinking,atanhtheha,katanvtheha,atanhthesko'i,utanhthelhv'i,hatanhthvla,utanhthehti,Eventful,atanhth,atanvth,apl-active-',a_stem,a_present,True,False,False,1,1,1,1,1
41,45,he/she is pondering,atanhthehilo'a,katanvthehilo'a,atanhthehilosko'i,utanhthehilo'v'i,hatanhthehilotsa,utanhthehilosti,Eventful,atanhthehil,atanhvthehil,o,a_stem,a_present,True,False,False,1,1,1,1,1
41,45,he/she is pondering,atanhthehilo'a,katanvthehilo'a,atanhthehilosko'i,utanhthehilo'v'i,hatanhthehilotsa,utanhthehilosti,Eventful,atanhthehil,atanvthehil,o,a_stem,a_present,True,False,False,1,1,1,1,1
42,46,he/she is making noise,atanoyhvlhistiha,katanoyvlistiha,atanoyhvlhistisko'i,utanoyhvlhisthanv'i,hatanoyhvlhista,utanoyhvlhistohti,Eventful,atanoyhvlhist,atanoyvlhist,cause,a_stem,a_present,True,False,False,1,1,1,1,1
43,47,he/she is crawling,atanhsini,katanasini,atanhsineko'i,utanhsinvsv'i,hatanhsinuka,utanhsinvsti,Eventful,atanhsin,atanasin,go,a_stem,i_present,True,False,False,2,1,1,1,1
